Country Name,Country Code,Series Name,Series Code,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Austria,AUT,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,..,5.5,5.2,4.4,3.6,3,..
Belgium,BEL,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,..,..,..,..,..,3.7,..
Bulgaria,BGR,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,..,14.9,13.6,12,12.5,13.2,..
Croatia,HRV,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,..,6.5,6.9,7.8,10,11,..
Cyprus,CYP,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,..,..,..,..,..,..,..
Denmark,DNK,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,..,5.9,5.8,5.4,5.2,5,..
Estonia,EST,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,..,9.5,8.3,8.2,7.4,7.9,..
Finland,FIN,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,..,9.3,8.4,8.3,7.7,8,..
France,FRA,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,..,6.8,6.3,6.3,6,5.8,..
Germany,DEU,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,..,4.1,3.8,3.6,3.5,3.4,..
Greece,GRC,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,..,15.8,16.4,16.6,13.3,8.6,..
Hungary,HUN,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,..,11.3,9.4,8.8,6.9,8.6,..
Ireland,IRL,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,..,8.9,7.2,6.6,7.2,8.3,..
Italy,ITA,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,..,8.6,7.6,7.5,7.2,6.7,..
Latvia,LVA,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,..,9.9,9.5,9.4,9.5,10.2,..
Lithuania,LTU,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,..,15.3,13.3,12.3,10.7,11.3,..
Luxembourg,LUX,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,..,4.7,4,3.3,3.3,3.1,..
Malta,MLT,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,..,5.9,5.6,5.1,4.4,4.3,..
Netherlands,NLD,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,..,5.7,5.5,5.1,5.1,4.7,..
Poland,POL,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,..,8.9,6.3,5.3,4.3,5.8,..
Portugal,PRT,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,..,14.7,13.2,11.6,10.7,11.5,..
Romania,ROU,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,..,19.3,16.6,14.7,14.5,13.9,..
Slovak Republic,SVK,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,..,6.2,5.3,5,5,6,..
Slovenia,SVN,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,..,12.3,11.8,11.2,10.2,8.2,..
Spain,ESP,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,..,7.1,7.5,7.5,8.6,8.8,..
Sweden,SWE,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,..,4.5,5.3,5.4,5.7,5.3,..
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Data from database: Sustainable Development Goals (SDGs),,,,,,,,,,,,,
Last Updated: 07/22/2022,,,,,,,,,,,,,
