Country Name,Country Code,Series Name,Series Code,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Brazil,BRA,Prevalence of severe food insecurity in the population (%),SN.ITK.SVFI.ZS,..,..,..,..,1.9,1.8,1.7,1.6,3.5,..
Brazil,BRA,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,..,18.3,21.5,21.8,20.6,23.5,..
Norway,NOR,Prevalence of severe food insecurity in the population (%),SN.ITK.SVFI.ZS,..,..,..,..,1.1,1.2,1.1,1.1,1,..
Norway,NOR,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,..,4.8,5,4.8,4.8,4.1,..
United States,USA,Prevalence of severe food insecurity in the population (%),SN.ITK.SVFI.ZS,..,..,..,..,1.1,1,0.9,0.8,0.8,..
United States,USA,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,..,10.5,9.8,8.9,8.4,8,..
France,FRA,Prevalence of severe food insecurity in the population (%),SN.ITK.SVFI.ZS,..,..,..,..,1.6,1.2,0.9,0.7,0.7,..
France,FRA,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,..,6.8,6.3,6.3,6,5.8,..
Somalia,SOM,Prevalence of severe food insecurity in the population (%),SN.ITK.SVFI.ZS,..,..,..,..,..,..,..,..,43,..
Somalia,SOM,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,..,..,..,..,..,79.1,..
Haiti,HTI,Prevalence of severe food insecurity in the population (%),SN.ITK.SVFI.ZS,..,..,..,..,..,..,..,..,..,..
Haiti,HTI,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,..,..,..,..,..,..,..
Bangladesh,BGD,Prevalence of severe food insecurity in the population (%),SN.ITK.SVFI.ZS,..,..,..,..,13.3,12.4,11.6,10.6,10.5,..
Bangladesh,BGD,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,..,32.2,31.9,31.5,31.5,31.9,..
Ethiopia,ETH,Prevalence of severe food insecurity in the population (%),SN.ITK.SVFI.ZS,..,..,..,..,14.5,15,14.8,14.1,16.4,..
Ethiopia,ETH,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,..,56.2,58.3,59.4,57.9,56.3,..
Afghanistan,AFG,Prevalence of severe food insecurity in the population (%),SN.ITK.SVFI.ZS,..,..,..,..,14.8,15.1,17.3,17.3,19.8,..
Afghanistan,AFG,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,..,45.1,49.6,54.3,57.5,63.1,..
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Data from database: Sustainable Development Goals (SDGs),,,,,,,,,,,,,
Last Updated: 07/22/2022,,,,,,,,,,,,,
